direction,entry_price,stop_price,target_price,exit_price,exit_time,entry_time,pnl_per_share,exit_reason,or_high,or_low,range_pct,atr,vwap_at_entry,rvol_at_entry,candle_strength,filters_passed,date,shares,gross_pnl,cost,trade_pnl,equity_after,drawdown_pct
short,420.2,427.687775,405.22445,417.45,2024-01-31 15:45:00-05:00,2024-01-31 09:40:00-05:00,2.75,eod_close,421.53,420.2,0.00316,4.9918499999999995,420.8052825501902,0.8553056984274428,0.7433962264151429,candle_strength,2024-01-31,20,55.0,2.52,52.48,10052.48,0.0
long,424.11,416.34241071428573,439.6451785714286,429.66,2024-02-02 15:45:00-05:00,2024-02-02 09:35:00-05:00,5.55,eod_close,424.11,422.79,0.003117,5.178392857142858,423.60595877199177,0.5831380390530174,0.7251013009170781,candle_strength,2024-02-02,19,105.45,2.42,103.03,10155.51,0.0
short,428.26,436.4542321428571,411.87153571428576,426.64,2024-02-20 15:45:00-05:00,2024-02-20 09:36:00-05:00,1.62,eod_close,430.08,428.26,0.004241,5.462821428571426,429.1238950347332,0.7166843202442217,1.0,candle_strength,2024-02-20,18,29.16,2.31,26.85,10182.36,0.0
long,435.05,426.8043392857143,451.5413214285714,438.57,2024-02-22 15:45:00-05:00,2024-02-22 09:45:00-05:00,3.52,eod_close,435.05,433.71,0.003085,5.497107142857142,434.30978983168825,1.3280401780006095,0.9290322580645053,candle_strength,2024-02-22,18,63.36,2.35,61.01,10243.37,0.0
short,438.6,447.7660714285715,420.2678571428571,443.615,2024-03-12 15:45:00-04:00,2024-03-12 09:35:00-04:00,-5.015,eod_close,440.4,438.6,0.004096,6.110714285714287,439.53772882561896,1.0574467325655388,0.9305555555556159,candle_strength,2024-03-12,16,-80.24,2.11,-82.35,10161.02,0.008
short,445.19,453.90213928571427,427.76572142857145,444.57,2024-03-27 15:45:00-04:00,2024-03-27 09:35:00-04:00,0.62,eod_close,446.54,445.19,0.003028,5.808092857142863,445.8427783091714,0.5856073259865272,0.8888888888888362,candle_strength,2024-03-27,17,10.54,2.27,8.27,10169.29,0.0072
long,446.19,438.7239321428571,461.1221357142858,444.65,2024-04-01 15:45:00-04:00,2024-04-01 09:35:00-04:00,-1.54,eod_close,446.19,444.55,0.003682,4.977378571428578,445.37833046236017,0.9503813278021479,0.6190476190476921,candle_strength,2024-04-01,20,-30.8,2.68,-33.48,10135.82,0.0105
short,425.31,435.41035714285715,405.1092857142857,424.02,2024-04-18 15:45:00-04:00,2024-04-18 09:35:00-04:00,1.29,eod_close,426.61,425.31,0.003052,6.733571428571439,425.8076866419341,0.999615336337759,1.0,candle_strength,2024-04-18,15,19.35,1.91,17.44,10153.25,0.0088
long,428.58,417.8142857142857,450.1114285714286,431.65,2024-04-26 15:45:00-04:00,2024-04-26 09:35:00-04:00,3.07,eod_close,428.58,426.92,0.003881,7.17714285714287,427.9731092502268,1.1490789748291896,0.9399879975994638,candle_strength,2024-04-26,14,42.98,1.8,41.18,10194.43,0.0048
short,424.39,435.8178571428571,401.5342857142857,426.36,2024-05-02 15:45:00-04:00,2024-05-02 09:35:00-04:00,-1.97,eod_close,425.76,424.39,0.003223,7.6185714285714345,424.8631533110016,0.8536191850441802,0.9166666666666272,candle_strength,2024-05-02,13,-25.61,1.66,-27.27,10167.17,0.0074
long,472.84,464.42272857142854,489.67454285714285,473.18,2024-06-12 15:45:00-04:00,2024-06-12 09:38:00-04:00,0.34,eod_close,472.84,471.29,0.003283,5.611514285714297,472.16101844175444,0.6573882989738573,0.681159420289953,candle_strength,2024-06-12,18,6.12,2.55,3.57,10170.73,0.0071
long,481.675,474.27210357142854,496.48079285714294,481.26,2024-06-27 15:45:00-04:00,2024-06-27 09:35:00-04:00,-0.415,eod_close,481.675,480.12,0.003234,4.9352642857142985,481.0028783820478,0.4240569920588805,0.9459459459459958,candle_strength,2024-06-27,20,-8.3,2.89,-11.19,10159.54,0.0082
long,481.75,473.39728214285714,498.4554357142857,486.078,2024-07-02 15:45:00-04:00,2024-07-02 09:37:00-04:00,4.328,eod_close,481.75,480.28,0.003056,5.568478571428581,481.09974240868377,0.8883869533933455,0.9496855345911702,candle_strength,2024-07-02,18,77.9,2.6,75.3,10234.85,0.0008
