direction,entry_price,stop_price,target_price,exit_price,exit_time,entry_time,pnl_per_share,exit_reason,or_high,or_low,range_pct,atr,vwap_at_entry,rvol_at_entry,candle_strength,filters_passed,date,shares,gross_pnl,cost,trade_pnl,equity_after,drawdown_pct
short,503.09,513.4214857142857,482.4270285714285,504.12,2024-05-02 15:45:00-04:00,2024-05-02 09:35:00-04:00,-1.03,eod_close,504.68,503.09,0.003155,6.887657142857137,503.79201642554824,0.7063971686200441,0.7714285714286317,candle_strength,2024-05-02,14,-14.42,2.11,-16.53,9983.47,0.0017
long,535.83,523.5668678571428,560.3562642857145,531.84,2024-08-02 15:45:00-04:00,2024-08-02 09:39:00-04:00,-3.99,eod_close,535.83,534.01,0.003402,8.17542142857144,535.07900434946,0.5365001219219705,0.9868421052631697,candle_strength,2024-08-02,12,-47.88,1.93,-49.81,9933.66,0.0066
long,513.37,500.12084285714286,539.8683142857143,515.38,2024-08-05 15:45:00-04:00,2024-08-05 09:37:00-04:00,2.01,eod_close,513.37,510.27,0.006057,8.832771428571439,511.78682591177085,0.6460638855827441,0.8962264150943325,candle_strength,2024-08-05,11,22.11,1.69,20.42,9954.07,0.0046
short,518.7,533.9848714285715,488.1302571428571,525.86,2024-08-06 15:45:00-04:00,2024-08-06 09:41:00-04:00,-7.16,eod_close,520.54,518.7,0.003541,10.189914285714297,519.4135314284412,0.7003145523452108,0.6666666666666666,candle_strength,2024-08-06,9,-64.44,1.4,-65.84,9888.23,0.0112
short,546.62,557.5849464285714,524.6901071428573,552.655,2024-09-11 15:45:00-04:00,2024-09-11 09:35:00-04:00,-6.035,eod_close,548.76,546.62,0.003907,7.309964285714265,547.5958191062883,0.9527394356405153,0.8365384615384216,candle_strength,2024-09-11,13,-78.45,2.13,-80.59,9807.65,0.0192
short,591.385,600.7766071428571,572.6017857142858,594.29,2024-11-21 15:45:00-05:00,2024-11-21 09:35:00-05:00,-2.905,eod_close,593.57,591.385,0.003688,6.261071428571411,592.5133263130034,0.8262985452798043,0.9431818181818695,candle_strength,2024-11-21,15,-43.57,2.66,-46.24,9761.41,0.0239
short,587.81,599.5042357142856,564.4215285714286,584.22,2025-01-02 15:45:00-05:00,2025-01-02 09:35:00-05:00,3.59,eod_close,589.65,587.81,0.003125,7.796157142857153,588.8767466867433,0.4440857324600042,1.0,candle_strength,2025-01-02,12,43.08,2.12,40.96,9802.37,0.0198
short,584.1,598.1658857142858,555.9682285714285,580.295,2025-01-10 15:45:00-05:00,2025-01-10 09:38:00-05:00,3.805,eod_close,585.96,584.1,0.003179,9.377257142857152,584.8734019657685,1.0415567332801843,0.8600000000001273,candle_strength,2025-01-10,10,38.05,1.75,36.3,9838.67,0.0161
long,597.88,587.4437607142856,618.7524785714287,598.3001,2025-01-27 15:45:00-05:00,2025-01-27 09:38:00-05:00,0.4201,eod_close,597.88,594.64,0.005434,6.957492857142865,597.0204295011044,0.7408226625221955,0.8708387096774186,candle_strength,2025-01-27,14,5.88,2.51,3.37,9842.04,0.0158
long,594.12,583.8401785714285,614.679642857143,598.36,2025-02-03 15:45:00-05:00,2025-02-03 09:39:00-05:00,4.24,eod_close,594.12,591.905,0.003735,6.853214285714297,593.1482142240405,0.46625933317629603,0.8730158730158072,candle_strength,2025-02-03,14,59.36,2.5,56.86,9898.91,0.0101
long,585.58,575.8016821428572,605.1366357142857,589.94,2025-02-28 15:45:00-05:00,2025-02-28 09:36:00-05:00,4.36,eod_close,585.58,583.27,0.003953,6.518878571428583,584.4222107113574,0.7308449062687715,0.8623853211009423,candle_strength,2025-02-28,15,65.4,2.64,62.76,9961.67,0.0038
long,579.82,568.2298857142857,603.0002285714287,579.81,2025-03-04 15:45:00-05:00,2025-03-04 09:36:00-05:00,-0.01,eod_close,579.82,578.01,0.003127,7.726742857142865,578.9727838919796,0.6748776497782777,0.70362962962967,candle_strength,2025-03-04,12,-0.12,2.09,-2.21,9959.46,0.0041
long,568.79,553.9051892857143,598.5596214285713,559.92,2025-03-10 15:45:00-04:00,2025-03-10 09:40:00-04:00,-8.87,eod_close,568.79,566.36,0.004281,9.923207142857141,567.831962417482,0.7191765996897113,0.9731346309814054,candle_strength,2025-03-10,10,-88.7,1.71,-90.41,9869.06,0.0131
short,558.53,575.2598107142857,525.0703785714286,558.94,2025-03-11 15:45:00-04:00,2025-03-11 09:35:00-04:00,-0.41,eod_close,560.23,558.53,0.003039,11.153207142857136,559.3180041612931,0.7561375629902191,0.7536231884057112,candle_strength,2025-03-11,8,-3.28,1.34,-4.62,9864.44,0.0136
long,564.42,545.9517964285714,601.3564071428572,568.92,2025-03-17 15:45:00-04:00,2025-03-17 09:35:00-04:00,4.5,eod_close,564.42,562.35,0.003674,12.312135714285716,563.4811594999377,0.4706442277183615,0.9574285099977817,candle_strength,2025-03-17,8,36.0,1.35,34.65,9899.08,0.0101
long,564.7,546.665125,600.7697500000002,565.99,2025-03-20 15:45:00-04:00,2025-03-20 09:35:00-04:00,1.29,eod_close,564.7,562.6012,0.003724,12.023250000000003,563.6655336960067,0.413491562467683,0.6562500000000074,candle_strength,2025-03-20,8,10.32,1.36,8.96,9908.05,0.0092
short,548.33,561.7296928571429,521.5306142857143,559.68,2025-03-31 15:45:00-04:00,2025-03-31 09:40:00-04:00,-11.35,eod_close,550.63,548.33,0.004186,8.93312857142858,549.3447506077374,0.5306524289692691,0.8279569892473368,candle_strength,2025-03-31,11,-124.85,1.81,-126.66,9781.39,0.0219
long,557.0,543.4201785714286,584.1596428571429,565.125,2025-04-02 15:45:00-04:00,2025-04-02 09:35:00-04:00,8.125,eod_close,557.0,554.81,0.00394,9.053214285714303,556.1362564831511,1.9340949867638235,0.7448979591836782,candle_strength,2025-04-02,10,81.25,1.67,79.58,9860.97,0.0139
short,544.89,558.8110714285714,517.0478571428572,538.63,2025-04-03 15:45:00-04:00,2025-04-03 09:56:00-04:00,6.26,eod_close,547.97,544.89,0.005637,9.280714285714298,546.4403022522366,1.3426353517589293,0.731585365853635,candle_strength,2025-04-03,10,62.6,1.63,60.97,9921.93,0.0078
short,522.33,537.9021428571428,491.1857142857144,513.01,2025-04-04 15:45:00-04:00,2025-04-04 09:35:00-04:00,9.32,eod_close,525.87,522.33,0.006754,10.381428571428573,524.1175325524868,0.6429593417078553,0.779487179487152,candle_strength,2025-04-04,9,83.88,1.41,82.47,10004.4,0.0
short,486.38,504.55357142857144,450.0328571428571,504.55357142857144,2025-04-07 10:11:00-04:00,2025-04-07 09:35:00-04:00,-18.1736,stop,489.3,486.38,0.005986,12.11571428571429,487.88438769065465,0.8565912980887935,0.7921348314606684,candle_strength,2025-04-07,8,-145.39,1.17,-146.56,9857.85,0.0146
short,520.0,541.7392857142858,476.5214285714285,490.91,2025-04-08 15:45:00-04:00,2025-04-08 09:35:00-04:00,29.09,eod_close,522.17,520.0,0.004164,14.492857142857142,520.8855920951405,1.0626900225870075,0.9683544303797045,candle_strength,2025-04-08,6,174.54,0.94,173.6,10031.45,0.0
long,496.92,472.4067857142857,545.9464285714287,541.61,2025-04-09 15:45:00-04:00,2025-04-09 09:38:00-04:00,44.69,eod_close,496.92,493.41,0.007089,16.34214285714285,495.5254980929902,1.078595643043929,0.9949622166246896,candle_strength,2025-04-09,6,268.14,0.89,267.25,10298.7,0.0
short,531.14,560.7533428571428,471.91331428571436,520.0575,2025-04-10 15:45:00-04:00,2025-04-10 09:37:00-04:00,11.0825,eod_close,533.495,531.14,0.004424,19.74222857142856,531.9687939838782,1.1766491367347764,0.8744939271254836,candle_strength,2025-04-10,5,55.41,0.8,54.62,10353.31,0.0
short,541.97,575.5508428571428,474.80831428571446,541.62,2025-04-14 15:45:00-04:00,2025-04-14 09:35:00-04:00,0.35,eod_close,544.28,541.97,0.004253,22.38722857142855,542.9763152679865,0.5877959224353642,0.7857142857142779,candle_strength,2025-04-14,4,1.4,0.65,0.75,10354.06,0.0
long,533.31,499.1955857142857,601.5388285714284,522.89,2025-04-16 15:45:00-04:00,2025-04-16 09:36:00-04:00,-10.42,eod_close,533.31,531.57,0.003268,22.742942857142847,532.6616656649516,0.47491183555815153,0.9473684210526766,candle_strength,2025-04-16,4,-41.68,0.64,-42.32,10311.74,0.0041
short,520.08,554.9316,450.3768000000001,512.24,2025-04-21 15:45:00-04:00,2025-04-21 09:35:00-04:00,7.84,eod_close,521.7,520.08,0.00311,23.234399999999997,520.860469016341,1.0028505890036907,0.8593749999999473,candle_strength,2025-04-21,4,31.36,0.62,30.74,10342.48,0.0011
long,547.49,512.6347785714286,617.2004428571429,549.519,2025-04-25 15:45:00-04:00,2025-04-25 09:35:00-04:00,2.029,eod_close,547.49,545.65,0.003366,23.236814285714274,546.7805220612453,0.9952529408035785,0.6374999999999342,candle_strength,2025-04-25,4,8.12,0.66,7.46,10349.94,0.0004
short,545.5,571.13665,494.22669999999994,551.77,2025-04-30 15:45:00-04:00,2025-04-30 09:37:00-04:00,-6.27,eod_close,547.59,545.5,0.003824,17.091099999999987,545.9870135119814,0.9543499946628989,0.6995210486514367,candle_strength,2025-04-30,6,-37.62,0.98,-38.6,10311.33,0.0041
long,559.23,542.3951464285715,592.8997071428571,561.3,2025-05-06 15:45:00-04:00,2025-05-06 09:35:00-04:00,2.07,eod_close,559.23,557.55,0.003009,11.223235714285705,558.595036917251,0.7515654218129201,0.6000000000000505,candle_strength,2025-05-06,9,18.63,1.51,17.12,10328.45,0.0025
long,577.57,566.6779214285715,599.3541571428572,580.32,2025-05-23 15:45:00-04:00,2025-05-23 09:35:00-04:00,2.75,eod_close,577.57,575.6,0.003417,7.261385714285715,576.7354956814776,0.9054991562424665,0.8299319727891188,candle_strength,2025-05-23,14,38.5,2.43,36.07,10364.53,0.0
short,591.34,602.9567714285714,568.1064571428573,589.59,2025-05-29 15:45:00-04:00,2025-05-29 09:41:00-04:00,1.75,eod_close,593.2,591.34,0.00314,7.74451428571429,592.0230088395767,0.7558512062904069,0.7287142857141895,candle_strength,2025-05-29,13,22.75,2.31,20.44,10384.97,0.0
long,589.55,577.8123071428571,613.0253857142857,591.91,2025-06-02 15:45:00-04:00,2025-06-02 09:38:00-04:00,2.36,eod_close,589.55,587.72,0.003109,7.825128571428577,588.9217815741717,0.7989159297285487,0.7222222222224853,candle_strength,2025-06-02,13,30.68,2.3,28.38,10413.35,0.0
short,596.05,606.4028714285714,575.344257142857,594.085,2025-06-05 15:45:00-04:00,2025-06-05 09:38:00-04:00,1.965,eod_close,597.905,596.05,0.003107,6.901914285714294,596.7978952217163,0.6970017221825513,0.8076923076922572,candle_strength,2025-06-05,15,29.48,2.68,26.79,10440.15,0.0
short,598.16,607.748075,578.98385,595.69,2025-06-13 15:45:00-04:00,2025-06-13 09:57:00-04:00,2.47,eod_close,600.37,598.16,0.003688,6.392050000000016,599.3798668218024,1.1352363251319122,0.8333333333334687,candle_strength,2025-06-13,16,39.52,2.87,36.65,10476.79,0.0
short,624.12,630.9024535714286,610.5550928571428,621.8,2025-08-01 15:45:00-04:00,2025-08-01 09:35:00-04:00,2.32,eod_close,626.34,624.12,0.003551,4.521635714285716,624.9515894210261,0.8174367421732973,0.9421153846154834,candle_strength,2025-08-01,23,53.36,4.31,49.05,10525.85,0.0
long,665.88,654.5694642857143,688.5010714285714,672.4199,2025-11-14 15:45:00-05:00,2025-11-14 09:37:00-05:00,6.5399,eod_close,665.88,663.265,0.003935,7.540357142857131,664.5440144308935,0.5567507127202089,0.5147058823528453,candle_strength,2025-11-14,13,85.02,2.6,82.42,10608.27,0.0
long,671.14,659.3896428571429,694.6407142857141,664.17,2025-11-17 15:45:00-05:00,2025-11-17 09:35:00-05:00,-6.97,eod_close,671.14,668.92,0.003313,7.8335714285714175,670.0256428738436,0.7569073611217478,0.9893617021276673,candle_strength,2025-11-17,13,-90.61,2.62,-93.23,10515.04,0.0088
short,660.955,673.5051785714286,635.854642857143,661.76,2025-11-18 15:45:00-05:00,2025-11-18 09:49:00-05:00,-0.805,eod_close,664.26,660.955,0.004988,8.366785714285713,662.4954574657058,1.131155038799378,0.8100810081007969,candle_strength,2025-11-18,12,-9.66,2.38,-12.04,10503.0,0.0099
long,684.47,605.9573214285715,841.4953571428571,690.88,2026-02-06 15:45:00-05:00,2026-02-06 09:38:00-05:00,6.41,eod_close,684.47,680.85,0.005303,52.34178571428571,683.1759788836159,0.9261802475711854,0.7910447761194106,candle_strength,2026-02-06,2,12.82,0.41,12.41,10515.41,0.0088
long,689.7599,609.5851678571429,850.1093642857143,681.4,2026-02-23 15:45:00-05:00,2026-02-23 09:38:00-05:00,-8.3599,eod_close,689.7599,687.67,0.003034,53.44982142857143,689.2709409112225,1.1258015430171666,0.6326530612245987,candle_strength,2026-02-23,1,-8.36,0.21,-8.57,10506.85,0.0096
long,681.48,669.3105535714286,705.8188928571428,686.28,2026-03-02 15:45:00-05:00,2026-03-02 09:35:00-05:00,4.8,eod_close,681.48,678.02,0.00509,8.11296428571427,680.0306511543646,0.6024193042542286,0.8615384615384077,candle_strength,2026-03-02,12,57.6,2.45,55.15,10561.99,0.0044
short,681.4,695.1669464285714,653.8661071428572,686.6,2026-03-04 15:45:00-05:00,2026-03-04 09:35:00-05:00,-5.2,eod_close,683.518,681.4,0.003103,9.177964285714276,682.3893186345229,1.6002988861227065,0.8258426966291776,candle_strength,2026-03-04,11,-57.2,2.25,-59.45,10502.54,0.01
short,672.02,685.1923035714285,645.6753928571429,672.66,2026-03-06 15:45:00-05:00,2026-03-06 09:35:00-05:00,-0.64,eod_close,674.06,672.02,0.003031,8.781535714285699,672.4882801263925,1.2848826022508504,0.8395721925133937,candle_strength,2026-03-06,11,-7.04,2.22,-9.26,10493.29,0.0108
short,640.35,655.6596428571429,609.7307142857143,633.52,2026-03-27 15:45:00-04:00,2026-03-27 09:35:00-04:00,6.83,eod_close,642.66,640.35,0.003601,10.206428571428578,641.1606473099574,1.1082213916619985,0.8129496402877898,candle_strength,2026-03-27,10,68.3,1.92,66.38,10559.66,0.0046
short,739.31,749.3782142857142,719.1735714285714,740.1,2026-05-15 15:45:00-04:00,2026-05-15 09:37:00-04:00,-0.79,eod_close,741.99,739.31,0.003618,6.712142857142843,740.3607222205895,0.36924191129914674,0.8593749999999473,candle_strength,2026-05-15,15,-11.85,3.33,-15.18,10544.49,0.006
