strategy,direction,entry_price,stop_price,target_price,exit_price,exit_time,entry_time,pnl_per_share,exit_reason,prev_close,today_open,gap_pct,atr,date,shares,gross_pnl,cost,trade_pnl,equity_after,drawdown_pct
gap_fill,long,405.84,401.8343857142857,413.8512285714286,401.8343857142857,2024-01-02 10:49:00-05:00,2024-01-02 09:30:00-05:00,-4.0056,stop,409.52,405.84,-0.008986,4.005614285714297,2024-01-02,12,-48.07,1.46,-49.53,9950.47,0.005
gap_fill,long,399.93,395.5658142857143,408.65837142857146,398.53,2024-01-03 15:45:00-05:00,2024-01-03 09:30:00-05:00,-1.4,eod_close,402.59,399.93,-0.006607,4.36418571428572,2024-01-03,12,-16.8,1.44,-18.24,9932.23,0.0068
gap_fill,long,401.91,397.4200928571429,410.8898142857143,405.09,2024-01-09 15:45:00-05:00,2024-01-09 09:30:00-05:00,3.18,eod_close,404.95,401.91,-0.007507,4.489907142857147,2024-01-09,12,38.16,1.45,36.71,9968.95,0.0031
gap_fill,long,406.17,401.5399357142857,415.4301285714286,406.59,2024-01-17 15:45:00-05:00,2024-01-17 09:30:00-05:00,0.42,eod_close,409.52,406.17,-0.00818,4.6300642857142895,2024-01-17,12,5.04,1.46,3.58,9972.52,0.0027
gap_fill,short,410.52,415.39435,400.7713,413.1,2024-01-18 15:45:00-05:00,2024-01-18 09:30:00-05:00,-2.58,eod_close,407.21,410.52,0.008128,4.874350000000001,2024-01-18,12,-30.96,1.48,-32.44,9940.09,0.006
gap_fill,short,427.44,432.6304214285714,417.05915714285715,426.59,2024-01-24 15:45:00-05:00,2024-01-24 09:30:00-05:00,0.85,eod_close,423.48,427.44,0.009351,5.190421428571426,2024-01-24,11,9.35,1.41,7.94,9948.02,0.0052
gap_fill,long,420.85,415.85815,430.8337,417.45,2024-01-31 15:45:00-05:00,2024-01-31 09:30:00-05:00,-3.4,eod_close,425.3,420.85,-0.010463,4.9918499999999995,2024-01-31,11,-37.4,1.39,-38.79,9909.24,0.0091
gap_fill,short,430.41,435.8726785714286,419.4846428571429,432.205,2024-02-07 15:45:00-05:00,2024-02-07 09:30:00-05:00,-1.795,eod_close,427.59,430.41,0.006595,5.462678571428573,2024-02-07,11,-19.74,1.42,-21.17,9888.07,0.0112
gap_fill,short,431.26,436.65925,420.4615,433.09,2024-02-14 15:45:00-05:00,2024-02-14 09:30:00-05:00,-1.83,eod_close,428.55,431.26,0.006324,5.399250000000003,2024-02-14,11,-20.13,1.42,-21.55,9866.52,0.0133
gap_fill,short,438.23,443.59889285714286,427.4922142857143,438.88,2024-02-29 15:45:00-05:00,2024-02-29 09:30:00-05:00,-0.65,eod_close,435.27,438.23,0.0068,5.368892857142855,2024-02-29,11,-7.15,1.45,-8.6,9857.92,0.0142
gap_fill,long,440.94,435.3400357142857,452.1399285714286,435.3400357142857,2024-03-05 13:40:00-05:00,2024-03-05 09:30:00-05:00,-5.6,stop,444.02,440.94,-0.006937,5.599964285714285,2024-03-05,11,-61.6,1.46,-63.06,9794.87,0.0205
gap_fill,short,440.32,445.9457142857143,429.06857142857143,438.86,2024-03-06 15:45:00-05:00,2024-03-06 09:30:00-05:00,1.46,eod_close,436.05,440.32,0.009792,5.6257142857142854,2024-03-06,11,16.06,1.45,14.61,9809.47,0.0191
gap_fill,short,442.39,448.0757142857143,431.0185714285714,446.08,2024-03-07 15:45:00-05:00,2024-03-07 09:30:00-05:00,-3.69,eod_close,438.79,442.39,0.008204,5.685714285714288,2024-03-07,11,-40.59,1.46,-42.05,9767.42,0.0233
gap_fill,long,436.07,430.40642857142853,447.39714285714285,434.14,2024-03-15 15:45:00-04:00,2024-03-15 09:30:00-04:00,-1.93,eod_close,439.14,436.07,-0.006991,5.6635714285714345,2024-03-15,11,-21.23,1.44,-22.67,9744.75,0.0255
gap_fill,short,438.73,444.69023571428573,426.8095285714286,438.715,2024-03-18 15:45:00-04:00,2024-03-18 09:30:00-04:00,0.015,eod_close,433.92,438.73,0.011085,5.96023571428572,2024-03-18,11,0.16,1.45,-1.28,9743.47,0.0257
gap_fill,short,448.88,455.37487857142855,435.8902428571428,446.4601,2024-03-21 15:45:00-04:00,2024-03-21 09:30:00-04:00,2.4199,eod_close,443.77,448.88,0.011515,6.494878571428578,2024-03-21,10,24.2,1.35,22.85,9766.32,0.0234
gap_fill,short,446.43,452.2380928571429,434.8138142857143,444.57,2024-03-27 15:45:00-04:00,2024-03-27 09:30:00-04:00,1.86,eod_close,443.32,446.43,0.007015,5.808092857142863,2024-03-27,10,18.6,1.34,17.26,9783.58,0.0216
gap_fill,long,440.09,435.04619285714284,450.1776142857143,440.96,2024-04-02 15:45:00-04:00,2024-04-02 09:30:00-04:00,0.87,eod_close,444.95,440.09,-0.010923,5.043807142857149,2024-04-02,11,9.57,1.45,8.12,9791.7,0.0208
gap_fill,short,446.33,451.36452142857144,436.26095714285714,436.26095714285714,2024-04-04 15:28:00-04:00,2024-04-04 09:30:00-04:00,10.069,target,442.1,446.33,0.009568,5.034521428571436,2024-04-04,10,100.69,1.34,99.35,9891.05,0.0109
gap_fill,long,437.0,431.6825,447.635,438.52,2024-04-10 15:45:00-04:00,2024-04-10 09:30:00-04:00,1.52,eod_close,442.23,437.0,-0.011826,5.317500000000008,2024-04-10,11,16.72,1.44,15.28,9906.33,0.0094
gap_fill,long,441.1,435.58964285714285,452.1207142857143,438.46,2024-04-12 15:45:00-04:00,2024-04-12 09:30:00-04:00,-2.64,eod_close,445.37,441.1,-0.009588,5.510357142857154,2024-04-12,11,-29.04,1.46,-30.5,9875.84,0.0124
gap_fill,short,442.06,447.96250000000003,430.255,430.255,2024-04-15 15:17:00-04:00,2024-04-15 09:30:00-04:00,11.805,target,438.27,442.06,0.008648,5.902500000000011,2024-04-15,11,129.85,1.46,128.4,10004.23,0.0
gap_fill,short,460.57,464.72329285714284,452.26341428571425,452.26341428571425,2024-05-23 14:51:00-04:00,2024-05-23 09:30:00-04:00,8.3066,target,455.71,460.57,0.010665,4.153292857142865,2024-05-23,10,83.07,1.38,81.68,10085.92,0.0
gap_fill,long,455.48,451.28297142857144,463.87405714285717,457.12,2024-05-29 15:45:00-04:00,2024-05-29 09:30:00-04:00,1.64,eod_close,459.68,455.48,-0.009137,4.197028571428575,2024-05-29,11,18.04,1.5,16.54,10102.45,0.0
gap_fill,short,454.57,459.4180285714286,444.8739428571428,451.5,2024-06-03 15:45:00-04:00,2024-06-03 09:30:00-04:00,3.07,eod_close,450.71,454.57,0.008564,4.848028571428578,2024-06-03,11,33.77,1.5,32.27,10134.72,0.0
gap_fill,short,457.98,463.2336642857143,447.47267142857146,462.56,2024-06-05 15:45:00-04:00,2024-06-05 09:30:00-04:00,-4.58,eod_close,454.37,457.98,0.007945,5.253664285714292,2024-06-05,11,-50.38,1.51,-51.89,10082.83,0.0051
gap_fill,short,471.99,477.6015142857143,460.7669714285714,473.18,2024-06-12 15:45:00-04:00,2024-06-12 09:30:00-04:00,-1.19,eod_close,468.02,471.99,0.008483,5.611514285714297,2024-06-12,10,-11.9,1.42,-13.32,10069.52,0.0064
gap_fill,short,477.72,483.67008571428573,465.81982857142856,477.0,2024-06-13 15:45:00-04:00,2024-06-13 09:30:00-04:00,0.72,eod_close,474.15,477.72,0.007529,5.950085714285726,2024-06-13,10,7.2,1.43,5.77,10075.28,0.0059
gap_fill,short,485.52,492.30892857142857,471.9421428571428,479.98,2024-07-18 15:45:00-04:00,2024-07-18 09:30:00-04:00,5.54,eod_close,481.77,485.52,0.007784,6.788928571428572,2024-07-18,10,55.4,1.46,53.94,10129.23,0.0005
gap_fill,short,481.17,488.29107142857146,466.92785714285714,482.8525,2024-07-22 15:45:00-04:00,2024-07-22 09:30:00-04:00,-1.6825,eod_close,475.24,481.17,0.012478,7.121071428571428,2024-07-22,10,-16.83,1.44,-18.27,10110.96,0.0023
